AREA,visita_monumentohistorico,visita_monumentoarqueologico,visita_museo,asistencia_teatro,asistencia_danza,asistencia_espectaculomusical,asistencia_cine,asistencia_biblioteca,adquirir_libro,sexo,region_natural,ESTRATO,indicador
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,1,0,0,0,0,1,0,0,2,1,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,1,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,1,1,0,0,0,0,0,0,0,2,2,1,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,2,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,1,0
1,0,0,0,0,0,0,0,0,0,1,2,1,0
1,1,1,0,0,0,0,0,0,0,1,2,1,2.2222222222222223
1,1,1,0,0,0,0,1,0,1,2,2,1,4.444444444444445
1,0,0,0,0,0,0,0,0,1,2,2,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,1,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,1,0,0,0,0,0,0,0,0,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,1,1,3,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,1,0,1,1,1,0,0,1,3,3,4.444444444444445
1,1,1,1,0,0,0,0,1,1,2,3,3,5.555555555555555
1,0,0,0,0,0,0,1,0,0,2,3,3,1.1111111111111112
1,0,0,1,0,0,0,0,0,1,1,3,3,2.2222222222222223
1,0,0,0,0,0,0,1,0,0,1,3,3,1.1111111111111112
1,0,0,0,0,0,1,1,0,0,1,3,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,2,0
1,0,0,0,0,0,0,0,0,1,1,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,1,0,1,1,0,0,0,2,1,4,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,1,1,1,3,1.1111111111111112
1,0,1,0,0,0,0,0,0,1,1,1,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,1,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,1,0,0,0,0,0,0,2,1,3,1.1111111111111112
1,0,1,1,0,0,0,0,0,0,2,1,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,1,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,1,2,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,1,0,0,0,0,0,0,0,0,1,1,5,1.1111111111111112
1,0,1,0,0,0,0,0,0,0,2,1,5,1.1111111111111112
1,0,0,0,1,0,0,1,0,0,1,1,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,1,0,0,0,0,0,0,0,2,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,1,2,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,1,1,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,1,1,0,0,2,1,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,1,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,1,0,0,0,1,0,0,0,1,2,1,5,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,1,0,0,0,1,1,1,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,1,1,0,0,1,0,1,0,1,1,1,2,5.555555555555555
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,2,1,1,0
1,0,0,0,0,0,0,0,0,0,2,1,1,0
1,0,0,0,0,0,0,0,0,1,2,1,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,2,1,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,1,0
1,0,0,0,0,0,1,0,0,0,2,1,2,1.1111111111111112
1,0,0,0,0,0,1,1,0,1,2,1,2,3.333333333333333
1,0,0,0,1,0,0,0,0,0,1,1,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,1,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,1,0,0,0,0,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,2,1,0
1,1,0,0,0,0,0,0,0,1,1,2,1,2.2222222222222223
1,1,1,0,0,0,0,0,0,0,2,2,1,2.2222222222222223
1,0,1,1,0,0,0,0,0,0,1,2,1,2.2222222222222223
1,1,0,0,0,0,0,0,0,0,1,2,1,1.1111111111111112
1,0,0,0,0,0,0,1,0,0,2,2,1,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,2,1,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,2,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,1,0
1,1,0,0,0,1,1,0,0,0,2,2,1,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,2,1,0
1,0,0,0,0,1,1,0,0,0,2,2,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,1,0,0,0,1,0,0,0,0,2,2,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,1,1,0,0,0,1,2,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,1,0,0,0,0,0,0,0,0,1,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,1,2,5,0
1,1,0,0,0,0,0,0,0,0,1,2,5,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,2,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,1,1,0,0,0,0,0,0,1,1,2,2,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,1,1,1,0,0,0,0,0,0,1,2,2,3.333333333333333
1,0,0,0,0,0,1,0,0,1,1,2,2,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,1,0,1,2,2,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,0,0,0,0,0,0,0,0,1,2,3,0
1,0,1,0,0,0,0,0,0,0,1,2,3,1.1111111111111112
1,0,1,0,0,0,0,0,0,0,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,2,0
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,1,1,0,0,0,0,0,0,0,2,2,2,2.2222222222222223
1,0,1,0,0,0,0,0,0,0,1,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,2,0
1,0,0,0,0,0,0,0,0,0,2,2,2,0
1,0,0,0,0,0,0,1,0,1,2,3,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,1,2,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,1,0,0,0,0,0,0,0,0,2,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,1,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,1,0,0,0,0,0,0,1,1,2,1,2.2222222222222223
1,1,0,0,0,0,0,0,0,0,2,2,1,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,1,2,1,1.1111111111111112
1,1,0,0,0,0,0,0,0,1,1,2,1,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,2,1,0
1,0,0,0,0,0,1,0,0,1,2,2,1,2.2222222222222223
1,1,1,0,0,0,1,0,0,0,2,2,1,3.333333333333333
1,0,0,0,0,0,0,1,0,0,2,2,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,1,2,3,5,1.1111111111111112
1,0,0,0,0,0,1,0,0,0,2,3,5,1.1111111111111112
1,1,1,1,0,0,0,0,0,1,2,3,5,4.444444444444445
1,1,0,0,0,0,0,0,0,1,2,2,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,1,1,0,0,0,0,0,0,1,1,2,4,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,1,0,1,0,0,0,0,0,0,1,2,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,2,4,0
1,0,0,0,0,0,0,0,0,0,1,2,4,0
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,1,0,0,0,1,0,0,0,1,1,2,4,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,0,0,0,0,0,0,0,0,1,1,2,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,4,0
1,0,0,0,0,0,0,0,0,1,1,2,2,1.1111111111111112
1,1,1,0,0,0,1,0,0,1,2,2,2,4.444444444444445
1,0,0,0,0,0,0,1,0,0,1,2,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,2,2,1.1111111111111112
1,1,0,0,0,0,0,1,1,0,1,2,2,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,2,2,0
1,0,0,0,0,0,0,0,0,0,1,2,2,0
1,1,0,0,0,0,0,0,0,1,2,2,2,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,2,4,0
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,0,1,0,0,1,0,0,0,1,1,2,4,3.333333333333333
1,0,0,0,0,0,0,0,0,1,2,2,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,0,0,0,0,0,0,0,0,0,2,2,4,0
1,0,0,0,0,0,1,0,0,0,1,2,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,4,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,1,0,0,0,1,1,1,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,1,5,1.1111111111111112
1,1,0,1,0,1,1,0,0,0,1,1,5,4.444444444444445
1,1,0,0,0,0,0,0,0,1,2,1,5,2.2222222222222223
1,0,0,0,0,1,0,0,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,1,0,0,0,0,0,0,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,1,1,1,1,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,1,0,0,1,1,2,1.1111111111111112
1,1,1,0,0,0,0,0,0,0,1,1,2,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,1,2,1.1111111111111112
1,0,0,0,0,0,0,1,0,0,1,1,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,1,1,1,0,0,0,0,0,1,2,1,2,4.444444444444445
1,1,0,0,0,0,0,0,0,0,2,1,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,1,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,1,0,0,0,0,0,0,0,0,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,0,2,2,3,0
1,0,0,0,0,0,0,0,0,1,1,2,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,1,0,0,0,0,0,0,0,2,1,4,1.1111111111111112
1,0,1,0,0,0,0,0,0,1,1,1,4,2.2222222222222223
1,0,1,0,0,0,0,0,0,0,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,1,0,0,0,0,0,0,0,0,1,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,2,5,0
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,1,0,0,0,0,2,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,1,2,2,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,2,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,1,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,1,0,0,0,0,0,0,0,0,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,1,0,0,0,0,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,1,0,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,1,0,0,0,0,0,0,1,1,5,1.1111111111111112
1,0,0,1,0,0,0,0,0,1,2,1,5,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,1,1,1,0,0,0,0,0,0,1,3,5,3.333333333333333
1,1,1,0,0,0,1,0,0,0,1,3,5,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,1,2,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,1,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,1,0,0,0,1,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,1,0,0,0,0,0,0,0,1,2,1,2,2.2222222222222223
1,0,1,1,0,0,1,0,0,1,2,1,2,4.444444444444445
1,1,0,0,0,0,0,0,0,0,2,1,2,1.1111111111111112
1,0,0,0,0,0,1,1,0,1,1,1,2,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,1,0,1,0,0,1,0,0,1,1,1,2,4.444444444444445
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,1,0,0,0,0,0,0,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,1,0,0,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,1,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,1,0,0,0,0,0,0,0,0,1,1,5,1.1111111111111112
1,0,0,0,0,0,1,0,0,0,2,1,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,2,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,0,0,0,0,0,0,0,0,0,1,1,5,0
1,1,0,0,0,0,0,0,0,0,2,3,4,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,1,1,0,0,0,0,1,0,0,1,3,4,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,2,3,4,0
1,1,0,1,0,0,0,0,0,0,2,3,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,3,4,1.1111111111111112
1,0,0,1,0,0,0,0,0,0,2,3,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,1,0,0,0,0,0,0,0,1,3,3,1.1111111111111112
1,0,1,0,0,0,0,0,0,1,1,3,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,1,1,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,3,5,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,5,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,2,3,4,0
1,1,0,0,0,0,0,0,0,0,2,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,1,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,1,1,0,0,1,0,1,3,4,3.333333333333333
1,0,0,0,0,0,1,0,1,0,2,3,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,3,1,0
1,0,0,0,1,0,0,0,0,1,2,3,1,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,3,1,0
1,0,0,0,0,0,0,0,0,1,1,3,1,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,1,3,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,1,0
1,0,0,0,0,0,0,0,0,0,2,3,1,0
1,1,0,0,0,0,0,0,0,0,2,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,2,3,4,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,1,0,0,0,0,0,2,3,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,4,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,0,0,2,3,3,0
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,0,1,1,1,3,3,2.2222222222222223
1,0,0,0,0,0,0,1,0,0,2,3,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,3,0
1,0,0,0,0,0,0,1,0,0,1,3,1,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,3,1,0
1,1,1,0,0,0,1,1,0,1,1,3,1,5.555555555555555
